currently training with train and validation sets of size: 4500 (total len: 40305 ), 250 (total len: 2464 ), respectively
training rnn: LSTM
best validation loss is: 1.3437 (e^loss = 3.8332 )
best train loss is: inf (e^loss = inf )
learning rate 1 of 9 ( 0.01 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.828
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 8 of 45 finished, that took: 1.094
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 9 of 45 finished, that took: 0.922
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 10 of 45 finished, that took: 1.016
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 11 of 45 finished, that took: 0.891
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 12 of 45 finished, that took: 0.766
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 13 of 45 finished, that took: 0.5
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 14 of 45 finished, that took: 0.906
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 15 of 45 finished, that took: 0.766
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 16 of 45 finished, that took: 1.094
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 17 of 45 finished, that took: 0.891
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 18 of 45 finished, that took: 0.734
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 19 of 45 finished, that took: 0.938
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 20 of 45 finished, that took: 0.875
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 21 of 45 finished, that took: 1.141
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 22 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 23 of 45 finished, that took: 0.875
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 24 of 45 finished, that took: 0.719
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 25 of 45 finished, that took: 1.016
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 26 of 45 finished, that took: 0.969
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 27 of 45 finished, that took: 0.75
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 28 of 45 finished, that took: 0.672
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 29 of 45 finished, that took: 0.531
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 30 of 45 finished, that took: 0.578
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 31 of 45 finished, that took: 0.797
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 32 of 45 finished, that took: 0.828
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 33 of 45 finished, that took: 0.766
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 34 of 45 finished, that took: 1.062
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 35 of 45 finished, that took: 0.688
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 36 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 37 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 38 of 45 finished, that took: 1.078
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 39 of 45 finished, that took: 0.656
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 40 of 45 finished, that took: 1.016
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 41 of 45 finished, that took: 0.812
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 42 of 45 finished, that took: 0.781
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 43 of 45 finished, that took: 0.844
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 44 of 45 finished, that took: 1.062
learning rate 8 of 9 ( 0.0001 ), iteration 2 of 10 , batch 45 of 45 finished, that took: 0.516
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7072 (e^loss = 2.0283 ) , new train loss: 0 (e^loss = 1.0 )
validation stopped improving ( 2 iters without improvement), reverting to best by validation loss
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 1 of 45 finished, that took: 0.625
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 2 of 45 finished, that took: 0.656
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 3 of 45 finished, that took: 1.031
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 4 of 45 finished, that took: 1.047
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 5 of 45 finished, that took: 1.0
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 6 of 45 finished, that took: 0.938
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 7 of 45 finished, that took: 0.703
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 8 of 45 finished, that took: 0.859
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 9 of 45 finished, that took: 0.984
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 10 of 45 finished, that took: 0.969
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 11 of 45 finished, that took: 0.688
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 12 of 45 finished, that took: 0.516
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 13 of 45 finished, that took: 0.812
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 14 of 45 finished, that took: 0.688
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 15 of 45 finished, that took: 1.0
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 16 of 45 finished, that took: 0.844
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 17 of 45 finished, that took: 0.906
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 18 of 45 finished, that took: 0.938
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 19 of 45 finished, that took: 0.984
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 20 of 45 finished, that took: 0.812
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 21 of 45 finished, that took: 0.969
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 22 of 45 finished, that took: 0.719
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 23 of 45 finished, that took: 0.766
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 24 of 45 finished, that took: 0.5
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 25 of 45 finished, that took: 0.703
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 26 of 45 finished, that took: 1.016
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 27 of 45 finished, that took: 0.781
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 28 of 45 finished, that took: 1.047
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 29 of 45 finished, that took: 0.797
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 30 of 45 finished, that took: 0.562
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 31 of 45 finished, that took: 0.766
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 32 of 45 finished, that took: 0.891
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 33 of 45 finished, that took: 0.984
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 34 of 45 finished, that took: 0.719
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 35 of 45 finished, that took: 0.828
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 36 of 45 finished, that took: 0.891
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 37 of 45 finished, that took: 0.828
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 38 of 45 finished, that took: 0.719
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 39 of 45 finished, that took: 0.812
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 40 of 45 finished, that took: 0.844
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 41 of 45 finished, that took: 0.797
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 42 of 45 finished, that took: 1.125
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 43 of 45 finished, that took: 0.688
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 44 of 45 finished, that took: 1.172
learning rate 9 of 9 ( 5e-05 ), iteration 1 of 10 , batch 45 of 45 finished, that took: 0.969
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7072 (e^loss = 2.0282 ) , new train loss: 0 (e^loss = 1.0 )
time since start: 1157.875
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 1 of 45 finished, that took: 0.656
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 2 of 45 finished, that took: 0.875
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 3 of 45 finished, that took: 1.062
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 4 of 45 finished, that took: 0.766
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 5 of 45 finished, that took: 0.688
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 6 of 45 finished, that took: 0.422
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 7 of 45 finished, that took: 0.75
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 8 of 45 finished, that took: 0.688
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 9 of 45 finished, that took: 0.875
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 10 of 45 finished, that took: 0.969
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 11 of 45 finished, that took: 0.969
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 12 of 45 finished, that took: 0.75
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 13 of 45 finished, that took: 0.812
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 14 of 45 finished, that took: 0.828
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 15 of 45 finished, that took: 0.719
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 16 of 45 finished, that took: 1.062
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 17 of 45 finished, that took: 1.078
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 18 of 45 finished, that took: 0.891
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 19 of 45 finished, that took: 1.062
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 20 of 45 finished, that took: 0.578
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 21 of 45 finished, that took: 0.953
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 22 of 45 finished, that took: 0.844
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 23 of 45 finished, that took: 0.938
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 24 of 45 finished, that took: 1.0
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 25 of 45 finished, that took: 1.062
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 26 of 45 finished, that took: 0.812
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 27 of 45 finished, that took: 0.891
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 28 of 45 finished, that took: 1.062
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 29 of 45 finished, that took: 1.016
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 30 of 45 finished, that took: 0.859
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 31 of 45 finished, that took: 0.703
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 32 of 45 finished, that took: 0.938
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 33 of 45 finished, that took: 1.047
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 34 of 45 finished, that took: 1.047
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 35 of 45 finished, that took: 0.797
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 36 of 45 finished, that took: 0.922
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 37 of 45 finished, that took: 0.75
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 38 of 45 finished, that took: 0.844
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 39 of 45 finished, that took: 1.156
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 40 of 45 finished, that took: 0.859
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 41 of 45 finished, that took: 1.078
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 42 of 45 finished, that took: 0.906
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 43 of 45 finished, that took: 0.828
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 44 of 45 finished, that took: 0.891
learning rate 9 of 9 ( 5e-05 ), iteration 2 of 10 , batch 45 of 45 finished, that took: 0.75
☹☹ validation and train not improved here ☹☹ new validation loss: 0.7072 (e^loss = 2.0282 ) , new train loss: 0 (e^loss = 1.0 )
validation stopped improving ( 2 iters without improvement), reverting to best by validation loss
reached average training loss of: 0.7341246020965525
and average validation loss of: 0.7059713587131936
overall time spent training, including those dropped to validation: 1206.59375


total training time according to python's time.clock: 1207.0s ( 0.34 hours)


ultimately reached:
losses:
train loss:         0.7341246020965525
validation loss:    0.7059713587131936
test loss:          0.7635961588841661
